,Name,AQI,Latitude,Longitude,Health Condition
0,KLHK-GBK Jakarta,88,-6.2143113,106.8036918,Moderate
1,US Embassy in Central Jakarta,124,-6.182536,106.834236,Unhealthy for Sensitive Groups
2,South Mangga Dua,110,-6.142772,106.828364,Unhealthy for Sensitive Groups
3,Pegadungan,158,-6.140504,106.707553,Unhealthy
4,Rawamangun,130,-6.197604,106.896618,Unhealthy for Sensitive Groups
5,AHP - Capital Place,160,-6.2318981,106.8199709,Unhealthy
6,Kemayoran,61,-6.1642473,106.8458626,Moderate
7,Griya Loka BSD,235,-6.296,106.679,Very Unhealthy
8,Greencove BSD,182,-6.30338522,106.65829991,Unhealthy
9,US Embassy in South Jakarta,146,-6.236704,106.79324,Unhealthy for Sensitive Groups
10,Pejaten Barat,151,-6.274714,106.823053,Unhealthy
